state,year,drought,flooding,freeze,severe storm,tropical cyclone,wildfire,winter storm
MN,1987,0,0,0,0,0,0,0
MO,1987,0,0,0,0,0,0,0
MS,1987,0,0,0,0,0,0,0
MT,1987,0,0,0,0,0,0,0
NC,1987,0,0,0,0,0,0,0
ND,1987,0,0,0,0,0,0,0
NE,1987,0,0,0,0,0,0,0
NH,1987,0,0,0,0,0,0,0
NJ,1987,0,0,0,0,0,0,0
NM,1987,0,0,0,0,0,0,0
NV,1987,0,0,0,0,0,0,0
NY,1987,0,0,0,0,0,0,0
OH,1987,0,0,0,0,0,0,0
OK,1987,0,0,0,0,0,0,0
OR,1987,0,0,0,0,0,0,0
PA,1987,0,0,0,0,0,0,0
PR,1987,0,0,0,0,0,0,0
RI,1987,0,0,0,0,0,0,0
SC,1987,0,0,0,0,0,0,0
SD,1987,0,0,0,0,0,0,0
TN,1987,0,0,0,0,0,0,0
TX,1987,0,0,0,0,0,0,0
UT,1987,0,0,0,0,0,0,0
VA,1987,0,0,0,0,0,0,0
VI,1987,0,0,0,0,0,0,0
VT,1987,0,0,0,0,0,0,0
WA,1987,0,0,0,0,0,0,0
WI,1987,0,0,0,0,0,0,0
WV,1987,0,0,0,0,0,0,0
WY,1987,0,0,0,0,0,0,0
AK,1988,0,0,0,0,0,0,0
AL,1988,1,0,0,0,0,0,0
AR,1988,1,0,0,0,0,0,0
AZ,1988,0,0,0,0,0,0,0
CA,1988,0,0,0,0,0,0,0
CO,1988,0,0,0,0,0,0,0
CT,1988,0,0,0,0,0,0,0
DE,1988,0,0,0,0,0,0,0
FL,1988,0,0,0,0,0,0,0
GA,1988,0,0,0,0,0,0,0
HI,1988,0,0,0,0,0,0,0
IA,1988,1,0,0,0,0,0,0
ID,1988,1,0,0,0,0,0,0
IL,1988,1,0,0,0,0,0,0
IN,1988,1,0,0,0,0,0,0
KS,1988,1,0,0,0,0,0,0
KY,1988,1,0,0,0,0,0,0
LA,1988,1,0,0,0,0,0,0
MA,1988,0,0,0,0,0,0,0
MD,1988,1,0,0,0,0,0,0
ME,1988,0,0,0,0,0,0,0
MI,1988,1,0,0,0,0,0,0
MN,1988,1,0,0,0,0,0,0
MO,1988,1,0,0,0,0,0,0
MS,1988,1,0,0,0,0,0,0
MT,1988,1,0,0,0,0,0,0
NC,1988,0,0,0,0,0,0,0
ND,1988,1,0,0,0,0,0,0
NE,1988,1,0,0,0,0,0,0
NH,1988,0,0,0,0,0,0,0
NJ,1988,0,0,0,0,0,0,0
NM,1988,0,0,0,0,0,0,0
NV,1988,0,0,0,0,0,0,0
NY,1988,0,0,0,0,0,0,0
OH,1988,1,0,0,0,0,0,0
OK,1988,1,0,0,0,0,0,0
OR,1988,0,0,0,0,0,0,0
PA,1988,0,0,0,0,0,0,0
PR,1988,0,0,0,0,0,0,0
RI,1988,0,0,0,0,0,0,0
SC,1988,0,0,0,0,0,0,0
SD,1988,1,0,0,0,0,0,0
TN,1988,1,0,0,0,0,0,0
TX,1988,1,0,0,0,0,0,0
UT,1988,0,0,0,0,0,0,0
VA,1988,0,0,0,0,0,0,0
VI,1988,0,0,0,0,0,0,0
VT,1988,0,0,0,0,0,0,0
WA,1988,0,0,0,0,0,0,0
WI,1988,1,0,0,0,0,0,0
WV,1988,1,0,0,0,0,0,0
WY,1988,1,0,0,0,0,0,0
AK,1989,0,0,0,0,0,0,0
AL,1989,0,0,0,0,0,0,1
AR,1989,0,0,0,0,0,0,1
AZ,1989,0,0,0,0,0,0,0
CA,1989,0,0,0,0,0,0,0
CO,1989,1,0,0,0,0,0,0
CT,1989,0,0,0,0,0,0,1
DE,1989,0,0,0,0,0,0,0
FL,1989,0,0,1,0,0,0,1
GA,1989,0,0,0,1,0,0,1
HI,1989,0,0,0,0,0,0,0
IA,1989,1,0,0,0,0,0,0
ID,1989,0,0,0,0,0,0,0
IL,1989,1,0,0,0,0,0,1
IN,1989,0,0,0,0,0,0,1
KS,1989,1,0,0,0,0,0,0
KY,1989,0,0,0,0,0,0,1
LA,1989,0,0,0,1,0,0,1
MA,1989,0,0,0,0,0,0,0
MD,1989,0,0,0,0,0,0,0
ME,1989,0,0,0,0,0,0,1
MI,1989,0,0,0,0,0,0,0
MN,1989,0,0,0,0,0,0,0
MO,1989,1,0,0,0,0,0,1
MS,1989,0,0,0,1,0,0,1
MT,1989,0,0,0,0,0,0,0
NC,1989,0,0,0,1,1,0,1
ND,1989,1,0,0,0,0,0,0
NE,1989,1,0,0,0,0,0,0
NH,1989,0,0,0,0,0,0,1
NJ,1989,0,0,0,0,0,0,0
NM,1989,0,0,0,0,0,0,0
NV,1989,1,0,0,0,0,0,0
NY,1989,0,0,0,0,0,0,1
OH,1989,0,0,0,0,0,0,1
OK,1989,0,0,0,1,0,0,1
OR,1989,0,0,0,0,0,0,0
PA,1989,0,0,0,0,0,0,1
PR,1989,0,0,0,0,1,0,0
RI,1989,0,0,0,0,0,0,0
SC,1989,0,0,0,1,1,0,1
SD,1989,1,0,0,0,0,0,0
TN,1989,0,0,0,0,0,0,1
TX,1989,1,0,0,1,0,0,1
UT,1989,1,0,0,0,0,0,0
VA,1989,0,0,0,1,1,0,1
VI,1989,0,0,0,0,1,0,0
VT,1989,0,0,0,0,0,0,1
WA,1989,0,0,0,0,0,0,0
WI,1989,0,0,0,0,0,0,0
WV,1989,0,0,0,0,0,0,1
WY,1989,0,0,0,0,0,0,0
AK,1990,0,0,0,0,0,0,0
AL,1990,0,0,0,0,0,0,0
AR,1990,0,1,0,0,0,0,0
AZ,1990,0,0,0,0,0,0,0
CA,1990,0,0,1,0,0,0,0
CO,1990,0,0,0,1,0,0,0
CT,1990,0,0,0,0,0,0,0
DE,1990,0,0,0,0,0,0,0
FL,1990,0,0,0,0,0,0,0
GA,1990,0,0,0,0,0,0,0
HI,1990,0,0,0,0,0,0,0
IA,1990,0,0,0,0,0,0,0
ID,1990,0,0,0,0,0,0,0
IL,1990,0,0,0,0,0,0,0
IN,1990,0,0,0,0,0,0,0
KS,1990,0,0,0,0,0,0,0
KY,1990,0,0,0,0,0,0,0
LA,1990,0,1,0,0,0,0,0
MA,1990,0,0,0,0,0,0,0
MD,1990,0,0,0,0,0,0,0
ME,1990,0,0,0,0,0,0,0
MI,1990,0,0,0,0,0,0,0
MN,1990,0,0,0,0,0,0,0
MO,1990,0,0,0,0,0,0,0
MS,1990,0,0,0,0,0,0,0
MT,1990,0,0,0,0,0,0,0
NC,1990,0,0,0,0,0,0,0
ND,1990,0,0,0,0,0,0,0
NE,1990,0,0,0,0,0,0,0
NH,1990,0,0,0,0,0,0,0
NJ,1990,0,0,0,0,0,0,0
NM,1990,0,0,0,0,0,0,0
NV,1990,0,0,0,0,0,0,0
NY,1990,0,0,0,0,0,0,0
OH,1990,0,0,0,0,0,0,0
OK,1990,0,1,0,0,0,0,0
OR,1990,0,0,0,0,0,0,0
PA,1990,0,0,0,0,0,0,0
PR,1990,0,0,0,0,0,0,0
RI,1990,0,0,0,0,0,0,0
SC,1990,0,0,0,0,0,0,0
SD,1990,0,0,0,0,0,0,0
TN,1990,0,0,0,0,0,0,0
TX,1990,0,1,0,0,0,0,0
UT,1990,0,0,0,0,0,0,0
VA,1990,0,0,0,0,0,0,0
VI,1990,0,0,0,0,0,0,0
VT,1990,0,0,0,0,0,0,0
WA,1990,0,0,0,0,0,0,0
WI,1990,0,0,0,0,0,0,0
WV,1990,0,0,0,0,0,0,0
WY,1990,0,0,0,0,0,0,0
AK,1991,0,0,0,0,0,0,0
AL,1991,0,0,0,1,0,0,0
AR,1991,0,0,0,0,0,0,0
AZ,1991,0,0,0,0,0,0,0
CA,1991,0,0,0,0,0,1,0
CO,1991,0,0,0,0,0,0,0
CT,1991,0,0,0,0,1,0,0
DE,1991,0,0,0,0,0,0,0
FL,1991,0,0,0,0,0,0,0
GA,1991,0,0,0,1,0,0,0
HI,1991,0,0,0,0,0,0,0
IA,1991,1,0,0,0,0,0,0
ID,1991,0,0,0,0,0,0,0
IL,1991,1,0,0,1,0,0,0
IN,1991,1,0,0,1,0,0,0
KS,1991,1,0,0,1,0,0,0
KY,1991,0,0,0,1,0,0,0
LA,1991,0,0,0,0,0,0,0
MA,1991,0,0,0,0,1,0,0
MD,1991,0,0,0,0,0,0,0
ME,1991,0,0,0,0,1,0,0
MI,1991,0,0,0,1,0,0,0
MN,1991,1,0,0,0,0,0,0
MO,1991,1,0,0,1,0,0,0
MS,1991,0,0,0,0,0,0,0
MT,1991,0,0,0,0,0,0,0
NC,1991,0,0,0,1,1,0,0
ND,1991,0,0,0,0,0,0,0
NE,1991,0,0,0,0,0,0,0
NH,1991,0,0,0,0,0,0,0
NJ,1991,0,0,0,0,0,0,0
NM,1991,0,0,0,0,0,0,0
NV,1991,0,0,0,0,0,0,0
NY,1991,0,0,0,1,1,0,0
OH,1991,1,0,0,1,0,0,0
OK,1991,1,0,0,0,0,0,0
OR,1991,1,0,0,0,0,0,0
PA,1991,1,0,0,1,0,0,0
PR,1991,0,0,0,0,0,0,0
RI,1991,0,0,0,0,1,0,0
SC,1991,0,0,0,1,0,0,0
SD,1991,0,0,0,0,0,0,0
TN,1991,0,0,0,1,0,0,0
TX,1991,0,0,0,0,0,0,0
UT,1991,0,0,0,0,0,0,0
VA,1991,0,0,0,0,0,0,0
VI,1991,0,0,0,0,0,0,0
VT,1991,0,0,0,0,0,0,0
WA,1991,1,0,0,0,0,0,0
WI,1991,0,0,0,0,0,0,0
WV,1991,1,0,0,0,0,0,0
WY,1991,0,0,0,0,0,0,0
AK,1992,0,0,0,0,0,0,0
AL,1992,0,0,0,1,0,0,0
AR,1992,0,0,0,1,0,0,0
AZ,1992,0,0,0,0,0,0,0
CA,1992,0,0,0,0,0,0,0
CO,1992,0,0,0,0,0,0,0
CT,1992,0,0,0,0,0,0,1
DE,1992,0,0,0,0,0,0,1
FL,1992,0,0,0,1,1,0,0
GA,1992,0,0,0,1,0,0,0
HI,1992,0,0,0,0,1,0,0
IA,1992,0,0,0,0,0,0,0
ID,1992,0,0,0,0,0,0,0
IL,1992,0,0,0,0,0,0,0
IN,1992,0,0,0,1,0,0,0
KS,1992,0,0,0,1,0,0,0
KY,1992,0,0,0,1,0,0,0
LA,1992,0,0,0,2,1,0,0
MA,1992,0,0,0,0,0,0,1
MD,1992,0,0,0,0,0,0,1
ME,1992,0,0,0,0,0,0,0
MI,1992,0,0,0,0,0,0,0
MN,1992,0,0,0,0,0,0,0
MO,1992,0,0,0,0,0,0,0
MS,1992,0,0,0,1,0,0,0
MT,1992,0,0,0,0,0,0,0
NC,1992,0,0,0,1,0,0,0
ND,1992,0,0,0,0,0,0,0
NE,1992,0,0,0,0,0,0,0
NH,1992,0,0,0,0,0,0,0
NJ,1992,0,0,0,0,0,0,1
NM,1992,0,0,0,0,0,0,0
NV,1992,0,0,0,0,0,0,0
NY,1992,0,0,0,0,0,0,1
OH,1992,0,0,0,1,0,0,0
OK,1992,0,0,0,2,0,0,0
OR,1992,0,0,0,0,0,0,0
PA,1992,0,0,0,0,0,0,1
PR,1992,0,0,0,0,0,0,0
RI,1992,0,0,0,0,0,0,1
SC,1992,0,0,0,0,0,0,0
SD,1992,0,0,0,0,0,0,0
TN,1992,0,0,0,1,0,0,0
TX,1992,0,0,0,3,0,0,0
UT,1992,0,0,0,0,0,0,0
VA,1992,0,0,0,0,0,0,1
VI,1992,0,0,0,0,0,0,0
VT,1992,0,0,0,0,0,0,0
WA,1992,0,0,0,0,0,0,0
WI,1992,0,0,0,0,0,0,0
WV,1992,0,0,0,0,0,0,1
WY,1992,0,0,0,0,0,0,0
AK,1993,0,0,0,0,0,0,0
AL,1993,1,0,0,0,0,0,1
AR,1993,0,0,0,0,0,0,0
AZ,1993,0,0,0,0,0,0,0
CA,1993,0,0,0,0,0,1,0
CO,1993,0,0,0,0,0,0,0
CT,1993,0,0,0,0,0,0,1
DE,1993,0,0,0,0,0,0,1
FL,1993,1,0,0,0,0,0,1
GA,1993,1,0,0,0,0,0,1
HI,1993,0,0,0,0,0,0,0
IA,1993,0,1,0,1,0,0,0
ID,1993,0,0,0,0,0,0,0
