state_name,year,population_thousands
New Hampshire,1982,948
New Jersey,1982,7431
New Mexico,1982,1364
Nevada,1982,882
New York,1982,17590
Ohio,1982,10757
Oklahoma,1982,3206
Oregon,1982,2665
Pennsylvania,1982,11845
Rhode Island,1982,954
South Carolina,1982,3208
South Dakota,1982,691
Tennessee,1982,4646
Texas,1982,15331
Utah,1982,1558
Virginia,1982,5493
Vermont,1982,519
Washington,1982,4277
Wisconsin,1982,4729
West Virginia,1982,1950
Wyoming,1982,506
United States,1982,231664
Alaska,1983,488
Alabama,1983,3934
Arkansas,1983,2306
Arizona,1983,2969
California,1983,25360
Colorado,1983,3134
Connecticut,1983,3162
District of Columbia,1983,632
Delaware,1983,605
Florida,1983,10750
Georgia,1983,5728
Hawaii,1983,1013
Iowa,1983,2871
Idaho,1983,982
Illinois,1983,11409
Indiana,1983,5450
Kansas,1983,2416
Kentucky,1983,3694
Louisiana,1983,4395
Massachusetts,1983,5799
Maryland,1983,4313
Maine,1983,1145
Michigan,1983,9048
Minnesota,1983,4141
Missouri,1983,4944
Mississippi,1983,2568
Montana,1983,814
North Carolina,1983,6077
North Dakota,1983,677
Nebraska,1983,1584
New Hampshire,1983,958
New Jersey,1983,7468
New Mexico,1983,1394
Nevada,1983,902
New York,1983,17687
Ohio,1983,10738
Oklahoma,1983,3290
Oregon,1983,2653
Pennsylvania,1983,11838
Rhode Island,1983,956
South Carolina,1983,3234
South Dakota,1983,693
Tennessee,1983,4660
Texas,1983,15752
Utah,1983,1595
Virginia,1983,5565
Vermont,1983,523
Washington,1983,4300
Wisconsin,1983,4721
West Virginia,1983,1945
Wyoming,1983,510
United States,1983,233792
Alaska,1984,514
Alabama,1984,3952
Arkansas,1984,2320
Arizona,1984,3067
California,1984,25844
Colorado,1984,3170
Connecticut,1984,3180
District of Columbia,1984,633
