state_name,year,tempc,co2_emissions,population_thousands,rgdp_millions,pe_coal,pe_petroleum,pe_naturalgas,pe_nuclear,re_biomass,re_geothermal,re_hydropower,re_solar,re_wind,drought,flooding,freeze,severe_storm,tropical_cyclone,wildfire,winter_storm,state_abb,tempf,pe_totalrenew
Louisiana,2000,19.57870370370371,225.6,4472,206685,253263,2166184,1625863,164734,136411,451,5430,60,0,1,0,0,0,0,0,1,LA,67.24166666666667,142352
Massachusetts,2000,8.62037037037037,82.9,6361,359521,114658,739514,357716,57487,58184,226,10866,187,0,0,0,0,0,0,0,0,MA,47.51666666666666,69462
Maryland,2000,12.296296296296294,77.9,5311,250982,312162,546998,219031,144204,36287,118,17674,44,0,0,0,0,0,0,0,0,MD,54.13333333333333,54124
Maine,2000,4.9629629629629655,22.4,1277,48524,9980,259350,48041,0,126280,5,36630,110,0,0,0,0,0,0,0,0,ME,40.933333333333344,163025
Michigan,2000,7.231481481481483,195.3,9952,438277,799800,991862,971656,196925,102421,1154,14564,229,0,0,0,0,0,0,0,0,MI,45.01666666666666,118368
Minnesota,2000,5.4537037037037015,98.0,4934,245982,373775,657500,367359,135160,87231,235,9501,288,7391,0,0,0,0,0,0,0,MN,41.816666666666656,104646
Missouri,2000,12.861111111111107,126.1,5607,246049,688905,674357,288058,104205,16988,74,6120,111,0,0,0,0,0,0,0,0,MO,55.15,23293
Mississippi,2000,17.89814814814815,61.5,2848,88143,147481,455825,312078,111534,75116,264,0,9,0,1,0,0,0,0,0,0,MS,64.21666666666667,75389
Montana,2000,5.750000000000001,30.7,904,31375,176779,165428,69590,0,15341,282,98167,3,0,1,0,0,0,0,1,0,MT,42.35,113793
North Carolina,2000,14.657407407407408,149.9,8082,354846,786114,906487,240727,408054,107174,200,32009,127,0,0,0,0,0,0,0,1,NC,58.38333333333333,139510
North Dakota,2000,5.041666666666668,51.4,642,24598,424563,119333,53421,0,4273,225,21652,1,0,0,0,0,0,0,0,0,ND,41.075,26151
Nebraska,2000,9.958333333333332,41.9,1714,76623,206938,221604,127260,89988,28044,320,15309,14,0,1,0,0,0,0,0,0,NE,49.925,43687
